,year,country of asylum,country of origin,population type,begin year total,end year total,total movement
2922,2015,IRE,RUS,REF,167.0,170.0,3.0
2923,2015,IRE,RWA,REF,59.0,62.0,3.0
2924,2015,IRE,SAU,REF,7.0,7.0,0.0
2926,2015,IRE,SLE,REF,52.0,54.0,2.0
2927,2015,IRE,SOM,REF,503.0,501.0,-2.0
2928,2015,IRE,SRB,REF,191.0,200.0,9.0
2929,2015,IRE,SRV,REF,5.0,7.0,2.0
2931,2015,IRE,STA,REF,7.0,7.0,0.0
2932,2015,IRE,SUD,REF,201.0,201.0,0.0
2933,2015,IRE,SVK,REF,23.0,23.0,0.0
2934,2015,IRE,SWA,REF,11.0,11.0,0.0
2935,2015,IRE,SYR,REF,176.0,109.0,-67.0
2936,2015,IRE,TAN,REF,9.0,9.0,0.0
2938,2015,IRE,TJK,REF,12.0,12.0,0.0
2939,2015,IRE,TKM,REF,0.0,0.0,0.0
2940,2015,IRE,TOG,REF,34.0,36.0,2.0
2942,2015,IRE,TUR,REF,13.0,13.0,0.0
2943,2015,IRE,UGA,REF,29.0,41.0,12.0
2944,2015,IRE,UKR,REF,97.0,103.0,6.0
2945,2015,IRE,UZB,REF,23.0,23.0,0.0
2948,2015,IRE,ZAM,REF,5.0,5.0,0.0
2949,2015,IRE,ZIM,REF,157.0,191.0,34.0
2950,2015,IRN,AFG,REF,950000.0,951142.0,1142.0
2951,2015,IRN,ETH,REF,0.0,0.0,0.0
2952,2015,IRN,IRQ,REF,32000.0,28268.0,-3732.0
2953,2015,IRN,KUW,REF,8.0,8.0,0.0
2955,2015,IRN,PAK,REF,10.0,10.0,0.0
2957,2015,IRN,UZB,REF,7.0,7.0,0.0
2958,2015,IRQ,AFG,REF,5.0,9.0,4.0
2961,2015,IRQ,GAZ,REF,9246.0,9250.0,4.0
2962,2015,IRQ,IRN,REF,11053.0,8231.0,-2822.0
2964,2015,IRQ,LBY,REF,0.0,0.0,0.0
2965,2015,IRQ,LEB,REF,0.0,0.0,0.0
2968,2015,IRQ,SYR,REF,234196.0,244642.0,10446.0
2969,2015,IRQ,TUR,REF,16637.0,15557.0,-1080.0
2975,2015,ISR,COD,REF-like,208.0,208.0,0.0
2977,2015,ISR,ERT,REF-like,32551.0,31556.0,-995.0
2978,2015,ISR,ERT,REF,117.0,152.0,35.0
2979,2015,ISR,ETH,REF,86.0,86.0,0.0
2980,2015,ISR,ICO,REF-like,0.0,0.0,0.0
2982,2015,ISR,IRN,REF,6.0,6.0,0.0
2983,2015,ISR,IRQ,REF,9.0,9.0,0.0
2986,2015,ISR,LBY,REF,0.0,0.0,0.0
2996,2015,ISR,SOM,REF,0.0,0.0,0.0
2997,2015,ISR,SSD,REF,38.0,38.0,0.0
2998,2015,ISR,SSD,REF-like,68.0,68.0,0.0
2999,2015,ISR,SUD,REF-like,6559.0,6307.0,-252.0
3000,2015,ISR,SUD,REF,29.0,26.0,-3.0
3003,2015,ISR,VAR,REF,7.0,7.0,0.0
3005,2015,ITA,AFG,REF,8991.0,12203.0,3212.0
3006,2015,ITA,ALB,REF,256.0,356.0,100.0
3007,2015,ITA,ALG,REF,113.0,146.0,33.0
3008,2015,ITA,ANG,REF,36.0,40.0,4.0
3009,2015,ITA,ARE,REF,1145.0,1379.0,234.0
3010,2015,ITA,ARM,REF,225.0,274.0,49.0
3012,2015,ITA,AZE,REF,69.0,61.0,-8.0
3014,2015,ITA,BDI,REF,12.0,14.0,2.0
3015,2015,ITA,BEN,REF,70.0,119.0,49.0
3016,2015,ITA,BGD,REF,1357.0,2545.0,1188.0
3018,2015,ITA,BKF,REF,599.0,764.0,165.0
3019,2015,ITA,BLR,REF,31.0,36.0,5.0
3020,2015,ITA,BOL,REF,9.0,9.0,0.0
3021,2015,ITA,BRA,REF,31.0,43.0,12.0
3022,2015,ITA,BSN,REF,375.0,478.0,103.0
3025,2015,ITA,CAR,REF,32.0,63.0,31.0
3026,2015,ITA,CHD,REF,335.0,383.0,48.0
3027,2015,ITA,CHI,REF,98.0,129.0,31.0
3028,2015,ITA,CHL,REF,5.0,7.0,2.0
3029,2015,ITA,CMR,REF,628.0,708.0,80.0
3030,2015,ITA,COB,REF,486.0,499.0,13.0
3031,2015,ITA,COD,REF,427.0,469.0,42.0
3032,2015,ITA,COL,REF,475.0,506.0,31.0
3034,2015,ITA,CUB,REF,142.0,152.0,10.0
3035,2015,ITA,CVI,REF,17.0,17.0,0.0
3039,2015,ITA,ECU,REF,14.0,15.0,1.0
3040,2015,ITA,EGU,REF,8.0,14.0,6.0
3041,2015,ITA,ERT,REF,13357.0,11951.0,-1406.0
3042,2015,ITA,ETH,REF,2354.0,1894.0,-460.0
3043,2015,ITA,GAB,REF,14.0,20.0,6.0
3044,2015,ITA,GAM,REF,1923.0,4919.0,2996.0
3045,2015,ITA,GAZ,REF,611.0,702.0,91.0
3046,2015,ITA,GEO,REF,130.0,188.0,58.0
3047,2015,ITA,GHA,REF,1733.0,2502.0,769.0
3048,2015,ITA,GNB,REF,166.0,320.0,154.0
3050,2015,ITA,GUI,REF,1026.0,1626.0,600.0
3051,2015,ITA,HAI,REF,8.0,9.0,1.0
3052,2015,ITA,HON,REF,7.0,9.0,2.0
3053,2015,ITA,HRV,REF,18.0,18.0,0.0
3054,2015,ITA,ICO,REF,4603.0,5079.0,476.0
3055,2015,ITA,IND,REF,113.0,123.0,10.0
3056,2015,ITA,IRN,REF,1412.0,1573.0,161.0
3057,2015,ITA,IRQ,REF,2913.0,3428.0,515.0
3060,2015,ITA,JOR,REF,12.0,20.0,8.0
3061,2015,ITA,KAZ,REF,5.0,6.0,1.0
3062,2015,ITA,KEN,REF,102.0,118.0,16.0
3066,2015,ITA,LBR,REF,765.0,702.0,-63.0
3067,2015,ITA,LBY,REF,227.0,392.0,165.0
3068,2015,ITA,LEB,REF,310.0,378.0,68.0
3070,2015,ITA,LKA,REF,673.0,707.0,34.0
3071,2015,ITA,MAD,REF,10.0,15.0,5.0
3072,2015,ITA,MAU,REF,230.0,282.0,52.0
3073,2015,ITA,MCD,REF,200.0,191.0,-9.0
3074,2015,ITA,MDA,REF,111.0,106.0,-5.0
3076,2015,ITA,MLI,REF,5552.0,8334.0,2782.0
3079,2015,ITA,MNE,REF,51.0,61.0,10.0
3080,2015,ITA,MNG,REF,6.0,6.0,0.0
3081,2015,ITA,MOR,REF,253.0,346.0,93.0
3084,2015,ITA,MYA,REF,23.0,31.0,8.0
3086,2015,ITA,NEP,REF,28.0,56.0,28.0
3087,2015,ITA,NGR,REF,263.0,326.0,63.0
3089,2015,ITA,NIG,REF,6293.0,9931.0,3638.0
3092,2015,ITA,PER,REF,35.0,44.0,9.0
3093,2015,ITA,PHI,REF,5.0,6.0,1.0
3095,2015,ITA,ROM,REF,22.0,5.0,-17.0
3097,2015,ITA,RUS,REF,174.0,200.0,26.0
3098,2015,ITA,RWA,REF,11.0,15.0,4.0
3099,2015,ITA,SAL,REF,120.0,165.0,45.0
3100,2015,ITA,SAU,REF,6.0,6.0,0.0
3101,2015,ITA,SEN,REF,1477.0,3037.0,1560.0
3102,2015,ITA,SLE,REF,327.0,403.0,76.0
3103,2015,ITA,SOM,REF,12213.0,13068.0,855.0
3104,2015,ITA,SRB,REF,2686.0,2620.0,-66.0
3105,2015,ITA,SRV,REF,8.0,8.0,0.0
3106,2015,ITA,SSD,REF,57.0,60.0,3.0
3107,2015,ITA,STA,REF,21.0,20.0,-1.0
3108,2015,ITA,SUD,REF,2530.0,2161.0,-369.0
3110,2015,ITA,SYR,REF,1144.0,1460.0,316.0
3111,2015,ITA,TAN,REF,10.0,19.0,9.0
3116,2015,ITA,TOG,REF,1535.0,1430.0,-105.0
3117,2015,ITA,TUN,REF,400.0,479.0,79.0
3118,2015,ITA,TUR,REF,2281.0,2482.0,201.0
3119,2015,ITA,UGA,REF,34.0,52.0,18.0
3120,2015,ITA,UKR,REF,236.0,1870.0,1634.0
3123,2015,ITA,UZB,REF,7.0,7.0,0.0
3126,2015,ITA,VEN,REF,17.0,33.0,16.0
3128,2015,ITA,YEM,REF,45.0,58.0,13.0
3131,2015,JAM,CUB,REF,0.0,0.0,0.0
3132,2015,JAM,HAI,REF,18.0,8.0,-10.0
3135,2015,JOR,AFG,REF,8.0,8.0,0.0
3137,2015,JOR,ARE,REF,44.0,56.0,12.0
3138,2015,JOR,BSN,REF,9.0,9.0,0.0
3143,2015,JOR,DJB,REF,0.0,0.0,0.0
3144,2015,JOR,ERT,REF,12.0,20.0,8.0
3148,2015,JOR,IRQ,REF,29263.0,33256.0,3993.0
3149,2015,JOR,KUW,REF,0.0,0.0,0.0
3157,2015,JOR,RUS,REF,18.0,25.0,7.0
3158,2015,JOR,SOM,REF,598.0,601.0,3.0
3159,2015,JOR,SSD,REF,6.0,6.0,0.0
3160,2015,JOR,STA,REF,12.0,12.0,0.0
3161,2015,JOR,SUD,REF,1013.0,1815.0,802.0
3162,2015,JOR,SYR,REF,623112.0,628223.0,5111.0
3163,2015,JOR,TUN,REF,5.0,6.0,1.0
3164,2015,JOR,TUR,REF,0.0,0.0,0.0
3167,2015,JOR,YEM,REF,16.0,47.0,31.0
3168,2015,JPN,AFG,REF,34.0,40.0,6.0
3169,2015,JPN,BDI,REF,7.0,7.0,0.0
3170,2015,JPN,BGD,REF,15.0,22.0,7.0
3171,2015,JPN,CHI,REF,79.0,78.0,-1.0
3172,2015,JPN,CMR,REF,31.0,15.0,-16.0
3174,2015,JPN,ETH,REF,14.0,17.0,3.0
3175,2015,JPN,IRN,REF,23.0,24.0,1.0
3177,2015,JPN,LKA,REF,43.0,51.0,8.0
3178,2015,JPN,MYA,REF,1889.0,1826.0,-63.0
3179,2015,JPN,PAK,REF,18.0,24.0,6.0
3181,2015,JPN,SRV,REF,68.0,19.0,-49.0
3182,2015,JPN,STA,REF,8.0,8.0,0.0
3183,2015,JPN,SUD,REF,14.0,15.0,1.0
3184,2015,JPN,SYR,REF,41.0,59.0,18.0
3185,2015,JPN,TUR,REF,19.0,29.0,10.0
3186,2015,JPN,VAR,REF,249.0,230.0,-19.0
3187,2015,KAZ,AFG,REF,578.0,644.0,66.0
3189,2015,KAZ,CHI,REF,9.0,8.0,-1.0
3194,2015,KAZ,SYR,REF,14.0,23.0,9.0
3197,2015,KAZ,UZB,REF,27.0,26.0,-1.0
3200,2015,KEN,ARE,REF,5.0,6.0,1.0
3201,2015,KEN,BDI,REF,657.0,848.0,191.0
3202,2015,KEN,CAR,REF,0.0,0.0,0.0
3204,2015,KEN,COB,REF,13.0,24.0,11.0
3205,2015,KEN,COD,REF,9324.0,12046.0,2722.0
3207,2015,KEN,ERT,REF,1333.0,1229.0,-104.0
3208,2015,KEN,ETH,REF,21250.0,21229.0,-21.0
3210,2015,KEN,GHA,REF,0.0,0.0,0.0
3212,2015,KEN,IRN,REF,7.0,8.0,1.0
3214,2015,KEN,LBR,REF,0.0,0.0,0.0
3215,2015,KEN,LKA,REF,14.0,14.0,0.0
3218,2015,KEN,PAK,REF,6.0,6.0,0.0
3219,2015,KEN,RSA,REF,0.0,0.0,0.0
3220,2015,KEN,RWA,REF,825.0,813.0,-12.0
3221,2015,KEN,SOM,REF,424691.0,417920.0,-6771.0
3222,2015,KEN,SSD,REF,89226.0,95671.0,6445.0
3223,2015,KEN,SUD,REF,3381.0,3419.0,38.0
3225,2015,KEN,TAN,REF,8.0,8.0,0.0
3226,2015,KEN,UGA,REF,591.0,637.0,46.0
3229,2015,KGZ,AFG,REF,386.0,258.0,-128.0
3233,2015,KGZ,SYR,REF,56.0,55.0,-1.0
3236,2015,KGZ,UZB,REF,37.0,26.0,-11.0
3238,2015,KOR,AFG,REF,16.0,32.0,16.0
3239,2015,KOR,ALG,REF,5.0,5.0,0.0
3241,2015,KOR,ARE,REF,5.0,10.0,5.0
3244,2015,KOR,BGD,REF,73.0,83.0,10.0
3247,2015,KOR,CHI,REF,27.0,35.0,8.0
3248,2015,KOR,CMR,REF,13.0,15.0,2.0
3250,2015,KOR,COD,REF,48.0,49.0,1.0
3252,2015,KOR,ETH,REF,78.0,89.0,11.0
3255,2015,KOR,GHA,REF,5.0,5.0,0.0
3256,2015,KOR,ICO,REF,27.0,27.0,0.0
3257,2015,KOR,IRN,REF,27.0,35.0,8.0
3258,2015,KOR,IRQ,REF,7.0,17.0,10.0
3259,2015,KOR,KEN,REF,5.0,5.0,0.0
3261,2015,KOR,LBR,REF,7.0,7.0,0.0
3263,2015,KOR,LKA,REF,8.0,8.0,0.0
3264,2015,KOR,MLI,REF,5.0,6.0,1.0
3266,2015,KOR,MYA,REF,180.0,213.0,33.0
3267,2015,KOR,NEP,REF,5.0,5.0,0.0
3269,2015,KOR,NIG,REF,8.0,8.0,0.0
3270,2015,KOR,PAK,REF,43.0,69.0,26.0
3272,2015,KOR,RUS,REF,10.0,10.0,0.0
3275,2015,KOR,SUD,REF,8.0,9.0,1.0
3276,2015,KOR,SYR,REF,503.0,646.0,143.0
3278,2015,KOR,UGA,REF,23.0,24.0,1.0
3280,2015,KOR,UZB,REF,8.0,8.0,0.0
3281,2015,KOR,YEM,REF,5.0,5.0,0.0
3284,2015,KOS,HRV,REF,36.0,34.0,-2.0
3285,2015,KOS,IRQ,REF,0.0,0.0,0.0
3288,2015,KUW,ERT,REF,5.0,0.0,-5.0
3289,2015,KUW,GAZ,REF,7.0,6.0,-1.0
3290,2015,KUW,IRN,REF,17.0,9.0,-8.0
3291,2015,KUW,IRQ,REF,438.0,391.0,-47.0
3294,2015,KUW,LEB,REF,5.0,5.0,0.0
3297,2015,KUW,SOM,REF,94.0,286.0,192.0
3298,2015,KUW,SYR,REF,15.0,14.0,-1.0
3299,2015,KUW,VAR,REF,20.0,20.0,0.0
3304,2015,LBR,COD,REF,14.0,10.0,-4.0
3310,2015,LBR,GUI,REF,25.0,24.0,-1.0
3311,2015,LBR,ICO,REF,38109.0,36041.0,-2068.0
3314,2015,LBR,MLI,REF,19.0,19.0,0.0
3318,2015,LBR,SLE,REF,375.0,380.0,5.0
3320,2015,LBR,SUD,REF,14.0,5.0,-9.0
3321,2015,LBR,SYR,REF,6.0,6.0,0.0
3322,2015,LBR,TOG,REF,9.0,5.0,-4.0
3327,2015,LBY,CHD,REF,20.0,20.0,0.0
3329,2015,LBY,COD,REF,17.0,14.0,-3.0
3330,2015,LBY,ERT,REF,485.0,443.0,-42.0
3331,2015,LBY,ETH,REF,23.0,23.0,0.0
3332,2015,LBY,GAZ,REF,5391.0,5380.0,-11.0
3334,2015,LBY,IRQ,REF,2520.0,2507.0,-13.0
3335,2015,LBY,LBR,REF,23.0,23.0,0.0
3336,2015,LBY,RWA,REF,0.0,0.0,0.0
3337,2015,LBY,SOM,REF,164.0,164.0,0.0
3338,2015,LBY,SUD,REF,658.0,624.0,-34.0
3339,2015,LBY,SYR,REF,18653.0,97.0,-18556.0
3344,2015,LEB,AFG,REF,19.0,20.0,1.0
3347,2015,LEB,ARE,REF,26.0,45.0,19.0
3349,2015,LEB,BAH,REF,9.0,19.0,10.0
3353,2015,LEB,ERT,REF,10.0,20.0,10.0
3354,2015,LEB,ETH,REF,5.0,13.0,8.0
3357,2015,LEB,GAZ,REF,9.0,7.0,-2.0
3359,2015,LEB,IRN,REF,12.0,20.0,8.0
3361,2015,LEB,IRQ,REF,5986.0,7234.0,1248.0
3364,2015,LEB,JOR,REF,17.0,22.0,5.0
3367,2015,LEB,LBY,REF,6.0,6.0,0.0
3373,2015,LEB,MOR,REF,0.0,0.0,0.0
3382,2015,LEB,SOM,REF,31.0,23.0,-8.0
3384,2015,LEB,SSD,REF,24.0,49.0,25.0
3387,2015,LEB,SUD,REF,357.0,646.0,289.0
3388,2015,LEB,SWE,REF,0.0,0.0,0.0
3390,2015,LEB,SYR,REF,1147494.0,1062690.0,-84804.0
3393,2015,LEB,TUN,REF,9.0,11.0,2.0
3395,2015,LEB,TUR,REF,10.0,7.0,-3.0
3402,2015,LES,COD,REF,24.0,20.0,-4.0
3405,2015,LES,RWA,REF,0.0,0.0,0.0
3406,2015,LES,TUN,REF,0.0,0.0,0.0
3408,2015,LES,ZIM,REF,7.0,6.0,-1.0
3410,2015,LIE,ARM,REF,8.0,8.0,0.0
3412,2015,LIE,CHI,REF,6.0,11.0,5.0
3413,2015,LIE,ERT,REF,14.0,18.0,4.0
3417,2015,LIE,SOM,REF,28.0,45.0,17.0
3418,2015,LIE,SRB,REF,36.0,36.0,0.0
3419,2015,LIE,SYR,REF,5.0,23.0,18.0
3420,2015,LKA,AFG,REF,34.0,124.0,90.0
3422,2015,LKA,GAZ,REF,15.0,15.0,0.0
3426,2015,LKA,MYA,REF,77.0,0.0,-77.0
3427,2015,LKA,PAK,REF,372.0,631.0,259.0
3433,2015,LTU,AFG,REF,186.0,199.0,13.0
3437,2015,LTU,BLR,REF,31.0,33.0,2.0
3438,2015,LTU,CMR,REF,5.0,5.0,0.0
3441,2015,LTU,ERT,REF,10.0,11.0,1.0
3445,2015,LTU,IRN,REF,6.0,6.0,0.0
3446,2015,LTU,IRQ,REF,18.0,38.0,20.0
3449,2015,LTU,LKA,REF,7.0,9.0,2.0
3452,2015,LTU,RUS,REF,610.0,624.0,14.0
3453,2015,LTU,SOM,REF,22.0,22.0,0.0
3455,2015,LTU,STA,REF,8.0,9.0,1.0
3456,2015,LTU,SYR,REF,20.0,23.0,3.0
3459,2015,LTU,UKR,REF,34.0,60.0,26.0
3460,2015,LTU,UZB,REF,15.0,15.0,0.0
3463,2015,LUX,AFG,REF,35.0,37.0,2.0
3464,2015,LUX,ALB,REF,58.0,75.0,17.0
3466,2015,LUX,ANG,REF,13.0,15.0,2.0
3469,2015,LUX,AZE,REF,14.0,14.0,0.0
3474,2015,LUX,BLR,REF,6.0,7.0,1.0
3475,2015,LUX,BSN,REF,7.0,7.0,0.0
3479,2015,LUX,CMR,REF,5.0,9.0,4.0
3480,2015,LUX,COB,REF,6.0,5.0,-1.0
3481,2015,LUX,COD,REF,27.0,32.0,5.0
3487,2015,LUX,ERT,REF,22.0,51.0,29.0
3488,2015,LUX,ETH,REF,32.0,38.0,6.0
3495,2015,LUX,GUI,REF,15.0,15.0,0.0
3497,2015,LUX,ICO,REF,7.0,6.0,-1.0
3498,2015,LUX,IRN,REF,142.0,136.0,-6.0
3499,2015,LUX,IRQ,REF,204.0,214.0,10.0
3503,2015,LUX,KRN,REF,6.0,6.0,0.0
3514,2015,LUX,MNE,REF,14.0,14.0,0.0
3518,2015,LUX,NIG,REF,5.0,6.0,1.0
3521,2015,LUX,RUS,REF,34.0,34.0,0.0
3522,2015,LUX,RWA,REF,20.0,20.0,0.0
3525,2015,LUX,SOM,REF,33.0,38.0,5.0
3526,2015,LUX,SRB,REF,270.0,270.0,0.0
3529,2015,LUX,STA,REF,0.0,16.0,16.0
3530,2015,LUX,SYR,REF,59.0,177.0,118.0
3536,2015,LUX,TUR,REF,7.0,10.0,3.0
3537,2015,LUX,UKR,REF,5.0,6.0,1.0
3542,2015,LVA,AFG,REF,28.0,36.0,8.0
3543,2015,LVA,ARE,REF,5.0,5.0,0.0
3544,2015,LVA,AZE,REF,5.0,5.0,0.0
3545,2015,LVA,BLR,REF,7.0,7.0,0.0
3550,2015,LVA,GAZ,REF,5.0,5.0,0.0
3553,2015,LVA,IRN,REF,19.0,19.0,0.0
3554,2015,LVA,IRQ,REF,5.0,6.0,1.0
3556,2015,LVA,KGZ,REF,5.0,7.0,2.0
3561,2015,LVA,RUS,REF,14.0,14.0,0.0
3562,2015,LVA,SOM,REF,7.0,7.0,0.0
3564,2015,LVA,SYR,REF,52.0,65.0,13.0
3567,2015,LVA,UZB,REF,11.0,12.0,1.0
3574,2015,MAD,PAK,REF,6.0,6.0,0.0
3575,2015,MAD,RWA,REF,0.0,0.0,0.0
3580,2015,MAU,CAR,REF,217.0,410.0,193.0
3583,2015,MAU,COB,REF,9.0,9.0,0.0
3584,2015,MAU,COD,REF,56.0,58.0,2.0
3585,2015,MAU,ETH,REF,6.0,6.0,0.0
3587,2015,MAU,GAZ,REF,11.0,28.0,17.0
3588,2015,MAU,GUI,REF,5.0,7.0,2.0
3589,2015,MAU,ICO,REF,268.0,267.0,-1.0
3590,2015,MAU,IRQ,REF,28.0,31.0,3.0
3592,2015,MAU,MLI,REF,48912.0,50233.0,1321.0
3595,2015,MAU,SEN,REF,27.0,48.0,21.0
3598,2015,MAU,SUD,REF,8.0,7.0,-1.0
3599,2015,MAU,SYR,REF,41.0,215.0,174.0
3600,2015,MAU,TOG,REF,30.0,31.0,1.0
3601,2015,MAU,TUN,REF,0.0,0.0,0.0
3603,2015,MAU,WSH,REF-like,26000.0,26000.0,0.0
3606,2015,MCD,BSN,REF-like,6.0,6.0,0.0
3609,2015,MCD,SRB,REF-like,263.0,165.0,-98.0
3610,2015,MCD,SRB,REF,600.0,513.0,-87.0
3611,2015,MCD,SYR,REF,11.0,13.0,2.0
3613,2015,MCO,VAR,REF,33.0,32.0,-1.0
3614,2015,MDA,AFG,REF,18.0,17.0,-1.0
3617,2015,MDA,ARM,REF,24.0,20.0,-4.0
3618,2015,MDA,AZE,REF,9.0,6.0,-3.0
3623,2015,MDA,GAZ,REF,5.0,5.0,0.0
3627,2015,MDA,IRQ,REF,9.0,23.0,14.0
3637,2015,MDA,RUS,REF,8.0,8.0,0.0
3638,2015,MDA,SOM,REF,0.0,0.0,0.0
3639,2015,MDA,SUD,REF,8.0,8.0,0.0
3640,2015,MDA,SYR,REF,186.0,206.0,20.0
3645,2015,MDA,UKR,REF,17.0,102.0,85.0
3646,2015,MDA,UZB,REF,9.0,9.0,0.0
3659,2015,MEX,CHI,REF,5.0,5.0,0.0
3661,2015,MEX,CMR,REF,13.0,15.0,2.0
3662,2015,MEX,COB,REF,17.0,17.0,0.0
3663,2015,MEX,COD,REF,63.0,69.0,6.0
3664,2015,MEX,COL,REF,255.0,264.0,9.0
3665,2015,MEX,CUB,REF,43.0,44.0,1.0
3666,2015,MEX,DOM,REF,8.0,8.0,0.0
3668,2015,MEX,ERT,REF,7.0,7.0,0.0
3669,2015,MEX,ETH,REF,7.0,7.0,0.0
3672,2015,MEX,GUA,REF,324.0,358.0,34.0
3674,2015,MEX,HAI,REF,175.0,175.0,0.0
3675,2015,MEX,HON,REF,288.0,727.0,439.0
3677,2015,MEX,IND,REF,9.0,10.0,1.0
3679,2015,MEX,IRN,REF,25.0,27.0,2.0
3680,2015,MEX,IRQ,REF,31.0,34.0,3.0
3685,2015,MEX,LKA,REF,19.0,19.0,0.0
3688,2015,MEX,NIC,REF,14.0,17.0,3.0
3689,2015,MEX,NIG,REF,18.0,22.0,4.0
3692,2015,MEX,PER,REF,10.0,10.0,0.0
3693,2015,MEX,ROM,REF,7.0,7.0,0.0
3695,2015,MEX,RUS,REF,6.0,11.0,5.0
3697,2015,MEX,SAL,REF,418.0,946.0,528.0
3701,2015,MEX,SYR,REF,13.0,18.0,5.0
3705,2015,MEX,VEN,REF,10.0,37.0,27.0
3706,2015,MLI,BDI,REF,25.0,14.0,-11.0
3707,2015,MLI,CAR,REF,874.0,979.0,105.0
3709,2015,MLI,COB,REF,29.0,25.0,-4.0
3710,2015,MLI,COD,REF,213.0,242.0,29.0
3714,2015,MLI,ICO,REF,1088.0,975.0,-113.0
3715,2015,MLI,LBR,REF,0.0,0.0,0.0
3717,2015,MLI,MAU,REF,12898.0,13539.0,641.0
3718,2015,MLI,PAK,REF,5.0,21.0,16.0
3719,2015,MLI,RWA,REF,33.0,10.0,-23.0
3721,2015,MLI,SYR,REF,16.0,82.0,66.0
3722,2015,MLI,TOG,REF,7.0,14.0,7.0
3724,2015,MLS,AFG,REF,184.0,173.0,-11.0
3728,2015,MLS,BGD,REF,13.0,15.0,2.0
3732,2015,MLS,CAM,REF,43.0,52.0,9.0
3734,2015,MLS,CHD,REF,0.0,0.0,0.0
3735,2015,MLS,CHI,REF,51.0,40.0,-11.0
3737,2015,MLS,COB,REF,0.0,0.0,0.0
3738,2015,MLS,COD,REF,10.0,9.0,-1.0
3739,2015,MLS,ERT,REF,5.0,5.0,0.0
3742,2015,MLS,GAZ,REF,287.0,307.0,20.0
3745,2015,MLS,INS,REF-like,265.0,114.0,-151.0
3746,2015,MLS,INS,REF,493.0,668.0,175.0
3747,2015,MLS,IRN,REF,260.0,247.0,-13.0
3748,2015,MLS,IRQ,REF,563.0,591.0,28.0
3751,2015,MLS,KEN,REF,0.0,0.0,0.0
3753,2015,MLS,LAO,REF-like,0.0,0.0,0.0
3754,2015,MLS,LBR,REF,8.0,10.0,2.0
3757,2015,MLS,LKA,REF-like,0.0,0.0,0.0
3758,2015,MLS,LKA,REF,1587.0,1545.0,-42.0
3760,2015,MLS,MYA,REF-like,9.0,6.0,-3.0
3761,2015,MLS,MYA,REF,93857.0,88631.0,-5226.0
3766,2015,MLS,PAK,REF,235.0,231.0,-4.0
3767,2015,MLS,PAK,REF-like,0.0,6.0,6.0
3770,2015,MLS,RUS,REF-like,0.0,0.0,0.0
3775,2015,MLS,SOM,REF,850.0,835.0,-15.0
3779,2015,MLS,SUD,REF,80.0,54.0,-26.0
3780,2015,MLS,SYR,REF,447.0,473.0,26.0
3781,2015,MLS,THA,REF,9.0,16.0,7.0
3787,2015,MLS,WSH,REF,0.0,0.0,0.0
3788,2015,MLS,YEM,REF,45.0,55.0,10.0
3791,2015,MLW,BDI,REF,1335.0,1479.0,144.0
3793,2015,MLW,COD,REF,2511.0,5361.0,2850.0
3795,2015,MLW,RWA,REF,1980.0,2116.0,136.0
3796,2015,MLW,SOM,REF,45.0,57.0,12.0
3798,2015,MLW,ZIM,REF,0.0,0.0,0.0
3800,2015,MNE,BSN,REF,608.0,113.0,-495.0
3801,2015,MNE,HRV,REF,214.0,36.0,-178.0
3806,2015,MNE,SRB,REF,5633.0,1613.0,-4020.0
3819,2015,MOR,CAR,REF,5.0,71.0,66.0
3822,2015,MOR,CMR,REF,15.0,55.0,40.0
3823,2015,MOR,COB,REF,6.0,11.0,5.0
3824,2015,MOR,COD,REF,123.0,143.0,20.0
3827,2015,MOR,GAZ,REF,30.0,41.0,11.0
3828,2015,MOR,GHA,REF,0.0,0.0,0.0
3829,2015,MOR,GUI,REF,6.0,16.0,10.0
3830,2015,MOR,ICO,REF,254.0,276.0,22.0
3831,2015,MOR,IRN,REF,0.0,0.0,0.0
3832,2015,MOR,IRQ,REF,96.0,132.0,36.0
3835,2015,MOR,LKA,REF,0.0,0.0,0.0
3838,2015,MOR,NIG,REF,9.0,8.0,-1.0
3839,2015,MOR,PAK,REF,0.0,0.0,0.0
3840,2015,MOR,RWA,REF,0.0,0.0,0.0
3841,2015,MOR,SEN,REF,9.0,36.0,27.0
3843,2015,MOR,SOM,REF,0.0,0.0,0.0
3845,2015,MOR,SYR,REF,647.0,2619.0,1972.0
3848,2015,MOR,UGA,REF,0.0,0.0,0.0
3852,2015,MOZ,BDI,REF,971.0,1119.0,148.0
3853,2015,MOZ,COB,REF,12.0,12.0,0.0
3854,2015,MOZ,COD,REF,2651.0,3415.0,764.0
3858,2015,MOZ,MAD,REF,0.0,0.0,0.0
3859,2015,MOZ,RWA,REF,796.0,849.0,53.0
3861,2015,MOZ,SOM,REF,89.0,208.0,119.0
3862,2015,MOZ,SUD,REF,5.0,6.0,1.0
3864,2015,MTA,ARE,REF,30.0,43.0,13.0
3865,2015,MTA,BGD,REF,6.0,8.0,2.0
3866,2015,MTA,BLR,REF,9.0,9.0,0.0
3868,2015,MTA,CHI,REF,12.0,12.0,0.0
3869,2015,MTA,CMR,REF,9.0,9.0,0.0
3872,2015,MTA,ERT,REF,950.0,915.0,-35.0
3873,2015,MTA,ETH,REF,112.0,127.0,15.0
3875,2015,MTA,GAZ,REF,43.0,49.0,6.0
